0,1,2,3,4,5,6,7,8,9
8.04E-02,1.06E-01,1.11E-01,1.04E-01,8.35E-02,8.17E-02,9.73E-02,1.03E-01,7.12E-02,8.36E-02
1.07E-01,1.49E-01,1.14E-01,1.14E-01,8.25E-02,9.44E-02,1.13E-01,1.14E-01,8.61E-02,9.32E-02
3.21E-01,4.79E-01,1.99E-01,2.30E-01,5.52E-02,1.36E-01,2.99E-01,2.61E-01,1.64E-01,2.13E-01
4.98E-01,6.60E-01,3.24E-01,3.45E-01,3.79E-02,2.19E-01,4.39E-01,4.33E-01,2.59E-01,2.95E-01
7.92E-01,8.61E-01,6.54E-01,6.52E-01,1.06E-02,5.27E-01,7.04E-01,7.24E-01,5.66E-01,4.94E-01
8.63E-01,9.09E-01,7.40E-01,7.31E-01,6.99E-03,6.53E-01,7.86E-01,7.95E-01,6.37E-01,5.10E-01
8.71E-01,9.10E-01,7.57E-01,7.70E-01,6.09E-03,6.93E-01,8.06E-01,8.08E-01,6.86E-01,5.32E-01
9.09E-01,9.40E-01,8.19E-01,8.08E-01,3.29E-03,7.56E-01,8.19E-01,8.27E-01,7.41E-01,5.57E-01
8.90E-01,9.21E-01,7.87E-01,7.66E-01,1.47E-02,7.00E-01,7.95E-01,7.85E-01,6.92E-01,6.24E-01
8.54E-01,9.05E-01,7.61E-01,7.45E-01,3.11E-02,6.82E-01,8.07E-01,7.46E-01,7.02E-01,6.04E-01
7.40E-01,8.14E-01,7.48E-01,6.61E-01,2.48E-01,6.87E-01,8.30E-01,7.65E-01,7.06E-01,5.58E-01
7.01E-01,8.17E-01,7.50E-01,6.43E-01,2.43E-01,6.87E-01,8.25E-01,7.31E-01,6.78E-01,5.00E-01
6.23E-01,6.89E-01,5.68E-01,4.99E-01,1.64E-01,5.05E-01,6.71E-01,6.73E-01,4.49E-01,2.88E-01
1.21E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.21E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.21E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
